API_remaining,Degradant_1,Degradant_2,Degradant_3,True_case
82.155,4.329,9.678,0.026,physical_loss
91.861,8.069,0.746,0.246,consistent
78.784,2.969,2.441,13.779,physical_loss
68.748,4.382,4.354,3.505,missing
93.941,2.844,1.498,1.479,consistent
92.929,3.276,5.203,1.64,overestimation
85.336,12.978,0.821,4.164,overestimation
89.845,2.121,3.038,4.414,consistent
92.916,1.055,3.156,2.82,consistent
87.754,6.722,2.555,6.919,overestimation
94.625,2.121,2.286,0.591,consistent
81.592,10.286,1.887,0.247,missing
87.399,2.813,3.937,9.088,overestimation
95.916,0.533,3.8,0.33,consistent
66.482,14.659,1.636,12.895,physical_loss
92.863,3.108,1.869,4.163,overestimation
91.296,8.329,2.305,0.001,overestimation
97.083,0.074,0.318,2.005,consistent
63.193,24.255,0.724,7.101,physical_loss
94.791,0.617,5.157,1.798,overestimation
91.405,5.248,2.512,5.92,overestimation
86.229,6.879,5.869,8.672,overestimation
71.368,19.636,2.687,0.544,physical_loss
60.233,29.406,0.639,3.142,physical_loss
89.182,2.515,5.326,3.37,consistent
91.029,7.353,0.605,5.774,overestimation
93.393,1.117,5.323,1.498,overestimation
73.768,3.797,4.828,7.294,missing
89.626,3.219,5.569,2.408,consistent
84.397,6.124,1.064,7.267,physical_loss
93.275,2.054,7.533,0.539,overestimation
78.434,3.153,3.866,9.661,physical_loss
94.551,0.012,7.907,0.41,overestimation
78.991,0.299,2.951,4.356,missing
88.206,10.22,1.366,1.148,consistent
79.007,7.471,0.376,8.51,physical_loss
91.863,0.805,8.107,1.079,overestimation
93.031,6.227,1.03,0.424,consistent
80.397,0.091,7.537,0.079,missing
94.96,1.426,1.275,2.158,consistent
92.228,5.588,3.562,0.387,overestimation
91.749,2.842,0.354,4.626,consistent
88.488,5.058,9.037,0.23,overestimation
65.562,5.258,6.765,2.01,missing
96.353,0.595,0.12,2.574,consistent
96.035,0.214,1.518,1.797,consistent
91.745,5.025,3.484,0.647,consistent
97.219,0.649,0.138,1.171,consistent
94.768,1.844,0.144,4.522,overestimation
90.898,4.213,2.62,1.592,consistent
91.882,1.215,1.564,5.626,consistent
79.757,3.495,1.881,2.868,missing
68.19,2.541,5.848,4.764,missing
93.37,3.053,3.512,2.131,overestimation
73.892,2.948,6.988,5.405,missing
93.015,2.068,2.385,3.129,consistent
76.567,5.799,2.943,1.113,missing
89.196,4.309,2.482,4.44,consistent
82.436,2.108,2.893,2.357,missing
97.905,0.375,1.209,0.336,consistent
92.753,5.59,2.723,1.17,overestimation
81.795,2.989,1.463,11.343,physical_loss
75.156,9.539,6.948,2.162,physical_loss
91.585,8.136,4.137,0.404,overestimation
97.308,0.569,1.412,1.427,consistent
91.492,3.414,3.274,2.272,consistent
93.224,7.568,1.718,1.17,overestimation
95.948,1.988,1.567,0.502,consistent
66.684,5.228,11.948,0.577,missing
85.272,2.966,11.412,3.68,overestimation
64.436,29.585,0.471,1.923,physical_loss
77.908,0.041,10.603,4.524,physical_loss
66.744,24.58,0.358,1.161,physical_loss
65.939,0.91,11.078,13.214,physical_loss
66.578,16.701,4.876,2.203,physical_loss
65.418,8.882,8.078,6.841,physical_loss
66.921,3.141,12.953,13.26,physical_loss
94.159,0.189,1.914,4.009,consistent
88.406,3.698,2.616,7.932,overestimation
87.702,7.54,3.943,8.028,overestimation
67.766,1.254,4.655,14.675,missing
91.193,6.009,1.702,1.996,consistent
85.625,5.79,6.952,9.589,overestimation
84.388,3.041,2.378,2.095,missing
62.023,6.189,2.214,19.357,physical_loss
95.771,0.79,3.387,0.169,consistent
70.197,1.142,4.992,3.123,missing
89.471,8.913,3.527,2.134,overestimation
74.057,10.69,2.047,7.005,physical_loss
71.305,17.533,1.052,3.978,physical_loss
86.981,2.253,12.924,3.39,overestimation
94.81,4.299,1.918,1.016,overestimation
75.49,1.238,11.249,8.315,physical_loss
69.188,0.723,16.426,3.969,physical_loss
87.544,12.797,0.935,3.018,overestimation
74.561,14.766,1.894,5.706,physical_loss
89.43,9.229,1.022,0.842,consistent
91.19,0.11,7.848,1.542,consistent
86.315,5.697,6.22,6.009,overestimation
95.29,0.627,3.621,1.004,consistent
80.656,0.064,4.902,1.853,missing
91.108,2.807,8.796,0.067,overestimation
92.938,5.682,0.262,1.163,consistent
76.024,6.801,8.793,2.292,physical_loss
79.233,10.418,0.308,4.774,physical_loss
96.9,0.912,0.191,1.673,consistent
75.275,16.305,3.088,1.914,physical_loss
86.966,1.735,3.071,3.262,missing
71.245,3.22,10.585,7.967,physical_loss
73.902,12.891,3.75,1.487,missing
78.919,1.828,8.165,1.152,missing
92.946,0.913,5.628,2.022,overestimation
71.359,11.542,2.801,6.763,physical_loss
92.271,6.123,0.022,2.22,consistent
88.023,4.862,1.334,9.418,overestimation
67.698,5.741,17.972,0.506,physical_loss
74.213,2.485,13.371,0.796,missing
88.431,0.282,1.435,4.937,missing
90.401,2.745,2.726,3.278,consistent
93.487,2.849,0.686,3.362,consistent
66.446,4.936,6.027,12.11,missing
70.777,0.19,1.051,15.38,missing
69.516,12.556,11.953,2.783,physical_loss
79.247,6.208,1.241,5.105,missing
83.818,2.971,2.869,0.041,missing
66.903,6.48,6.21,8.508,missing
