API_remaining,Degradant_1,Degradant_2,Degradant_3,Total_degradants,AMB,RMB,Z_MB,True_case
82.155,4.329,9.678,0.026,14.033000000000001,96.188,0.7863827402633792,-1.9059999999999988,physical_loss
91.861,8.069,0.746,0.246,9.061000000000002,100.92200000000001,1.1132817299422542,0.4610000000000056,consistent
78.784,2.969,2.441,13.779,19.189,97.97300000000001,0.9044588989441933,-1.0134999999999934,physical_loss
68.748,4.382,4.354,3.505,12.241,80.989,0.39168693203634974,-9.505499999999998,missing
93.941,2.844,1.498,1.479,5.821,99.762,0.9607195906915336,-0.11899999999999977,consistent
92.929,3.276,5.203,1.64,10.119,103.048,1.431056427662283,1.524000000000001,overestimation
85.336,12.978,0.821,4.164,17.963,103.299,1.2249727223131477,1.6495000000000033,overestimation
89.845,2.121,3.038,4.414,9.573,99.418,0.9426883308714918,-0.2909999999999968,consistent
92.916,1.055,3.156,2.82,7.031000000000001,99.947,0.992518351214003,-0.026499999999998636,consistent
87.754,6.722,2.555,6.919,16.196,103.95,1.3225543034460239,1.9750000000000014,overestimation
94.625,2.121,2.286,0.591,4.998,99.623,0.9298604651162791,-0.18849999999999767,consistent
81.592,10.286,1.887,0.247,12.42,94.012,0.6747066492829205,-2.9939999999999998,missing
87.399,2.813,3.937,9.088,15.838,103.237,1.2568843742560114,1.6184999999999974,overestimation
95.916,0.533,3.8,0.33,4.663,100.579,1.1417727717923596,0.28949999999999676,consistent
66.482,14.659,1.636,12.895,29.19,95.672,0.8708753505579092,-2.1640000000000015,physical_loss
92.863,3.108,1.869,4.163,9.14,102.003,1.2806501331091495,1.0015,overestimation
91.296,8.329,2.305,0.001,10.635,101.93100000000001,1.2218520220588245,0.9655000000000058,overestimation
97.083,0.074,0.318,2.005,2.397,99.48,0.8217346588961256,-0.259999999999998,consistent
63.193,24.255,0.724,7.101,32.08,95.273,0.8715733420273316,-2.363500000000002,physical_loss
94.791,0.617,5.157,1.798,7.572,102.363,1.453637934344403,1.1814999999999998,overestimation
91.405,5.248,2.512,5.92,13.68,105.08500000000001,1.5916230366492148,2.542500000000004,overestimation
86.229,6.879,5.869,8.672,21.42,107.649,1.5554425967613101,3.8245000000000005,overestimation
71.368,19.636,2.687,0.544,22.867,94.235,0.7986518580609108,-2.8825000000000003,physical_loss
60.233,29.406,0.639,3.142,33.187,93.41999999999999,0.8345361732089419,-3.2900000000000063,physical_loss
89.182,2.515,5.326,3.37,11.210999999999999,100.393,1.0363283416528009,0.19650000000000034,consistent
91.029,7.353,0.605,5.774,13.732,104.761,1.5307100657674724,2.380499999999998,overestimation
93.393,1.117,5.323,1.498,7.938000000000001,101.331,1.2014530043892844,0.6655000000000015,overestimation
73.768,3.797,4.828,7.294,15.919,89.687,0.6068542238487344,-5.156500000000001,missing
89.626,3.219,5.569,2.408,11.196,100.822,1.079236552920764,0.41100000000000136,consistent
84.397,6.124,1.064,7.267,14.455,98.852,0.9264244055630331,-0.5739999999999981,physical_loss
93.275,2.054,7.533,0.539,10.126,103.40100000000001,1.5057249070631982,1.7005000000000052,overestimation
78.434,3.153,3.866,9.661,16.68,95.114,0.7734396735602336,-2.442999999999998,physical_loss
94.551,0.012,7.907,0.41,8.328999999999999,102.88,1.5285373463020742,1.4399999999999977,overestimation
78.991,0.299,2.951,4.356,7.606,86.597,0.3620353181969632,-6.701500000000003,missing
88.206,10.22,1.366,1.148,12.734,100.94,1.079701543157538,0.46999999999999886,consistent
79.007,7.471,0.376,8.51,16.357,95.364,0.7791644833992285,-2.317999999999998,physical_loss
91.863,0.805,8.107,1.079,9.991,101.854,1.2278481012658227,0.9269999999999996,overestimation
93.031,6.227,1.03,0.424,7.681000000000001,100.712,1.1021667384129727,0.35600000000000165,consistent
80.397,0.091,7.537,0.079,7.707,88.104,0.39315410906493914,-5.948,missing
94.96,1.426,1.275,2.158,4.859,99.81899999999999,0.9640873015873004,-0.0905000000000058,consistent
92.228,5.588,3.562,0.387,9.537,101.765,1.227097272259392,0.8825000000000003,overestimation
